##=============================================================================
## Dados retirados do http://www.whoscored.com/Regions/250/Tournaments/30/Seasons/3871/Stages/8466/TeamStatistics/Europe-UEFA-Europa-League-2013-2014
## country: País de origem do jogador;
## team   : Time no qual joga;
## name   : Nome do jogador;
## pos    : Posição em que joga;
##   FW      : forward;
##   AM      : attack midfielder;
##   M       : midfielder;
##   DM      : defender midfielder;
##   D       : defender;
##   GK      : goalkeeper;
##   C, L, R : center, left, right;
## age    : Idade (anos);
## cm     : altura (cm);
## kg     : Peso (kg);
## apps   : Vezes que jogou como titular (vezes que jogou como substituto);
## goal   : Gols feitos;
## a      : Assistências ou passes para gol;
## yel    : Número de cartões amarelos;
## red    : Número de cartões vermelhos;
## spg    : Chutes a gol por partida;
## ps     : Porcentagem de passes com sucesso;
## aw     : Duelos aéreos ganho por jogo;
## mom    : Man of the match (homem da partida)??
## rt     : Average rating;
##=============================================================================
country	team	name	pos	age	cm	kg	apps	goal	ass	yel	red	spg	ps	aw	mom	rt
Germany	Eintracht Frankfurt	Pirmin Schwegler	DM(C)	27	178	76	12(2)	NA	NA	6	NA	0.8	80.5	2.4	1	6.99
Germany	Eintracht Frankfurt	Tranquillo Barnetta	AM(CLR)	28	178	68	16(2)	1	2	2	NA	1.2	74.2	1.3	NA	6.98
Germany	Eintracht Frankfurt	Carlos Zambrano	D(C)	24	185	78	24	NA	NA	11	NA	0.1	85.6	2.2	NA	6.97
Germany	Eintracht Frankfurt	Stefan Aigner	AM(R),FW	26	185	72	18(4)	4	5	3	NA	1.7	74.9	1.9	1	6.97
Germany	Eintracht Frankfurt	Anderson	D(C)	26	188	80	15	NA	1	3	NA	0.3	86.5	3.3	NA	6.96
Germany	Eintracht Frankfurt	Martin Lanig	M(C)	29	190	79	6(3)	NA	NA	NA	1	0.8	76.6	3.7	NA	6.9
Germany	Eintracht Frankfurt	Stephan Schröck	M(R)	27	170	68	6(3)	NA	NA	1	NA	0.3	68.3	0.3	1	6.89
Germany	Eintracht Frankfurt	Alexander Madlung	D(C)	31	193	92	9(2)	2	NA	NA	NA	0.8	78.2	4.1	1	6.85
Germany	Eintracht Frankfurt	Johannes Flum	D(C),M(C)	26	190	80	22(3)	3	2	8	1	0.8	80	2.1	NA	6.84
Germany	Eintracht Frankfurt	Sebastian Rode	DM(C)	23	179	67	17	NA	NA	4	NA	0.9	84.3	1.3	NA	6.84
Germany	Eintracht Frankfurt	Vaclav Kadlec	FW	21	180	68	14(5)	5	3	1	NA	1.8	76.1	1.5	1	6.78
Germany	Eintracht Frankfurt	Kevin Trapp	GK	23	189	83	28	NA	NA	1	NA	NA	65.7	0.5	1	6.76
Germany	Eintracht Frankfurt	Sebastian Jung	D(R)	23	179	72	24	NA	5	3	NA	0.5	80.3	1.4	NA	6.76
Germany	Eintracht Frankfurt	Takashi Inui	AM(L)	25	169	59	10(4)	NA	NA	NA	NA	1.1	78.2	0.1	NA	6.47
Germany	Eintracht Frankfurt	Jan Rosenthal	AM(CLR),FW	27	186	76	7(9)	2	NA	1	NA	0.9	74.9	1.6	NA	6.46
Germany	Eintracht Frankfurt	Marvin Bakalorz	M	24	180	76	0(3)	NA	NA	NA	NA	1	84.6	0.7	NA	6.32
Germany	Eintracht Frankfurt	Marc-Oliver Kempf	D	19	185	82	0(2)	NA	NA	1	NA	NA	90.7	1.5	NA	6.3
